"variables","types","missing_count","missing_percent","unique_count","unique_rate"
"Age","integer",0,0,45,0.00629458665547629
"BMI","numeric",0,0,2315,0.323821513498391
"Alcohol.Consumption.NUM","numeric",0,0,2149,0.300601482724857
"Physical.Activity.NUM","numeric",0,0,2149,0.300601482724857
"Diet.Quality.NUM","numeric",0,0,2149,0.300601482724857
"Sleep.Quality.NUM","numeric",0,0,2149,0.300601482724857
"SystolicBP","integer",0,0,90,0.0125891733109526
"DiastolicBP","integer",0,0,60,0.00839278220730172
"CholesterolTotal","numeric",0,0,2149,0.300601482724857
"CholesterolLDL","numeric",0,0,2149,0.300601482724857
"CholesterolHDL","numeric",0,0,2149,0.300601482724857
"CholesterolTriglycerides","numeric",0,0,2149,0.300601482724857
"MMSE","numeric",0,0,2149,0.300601482724857
"FunctionalAssessment","numeric",0,0,2149,0.300601482724857
"ADL","numeric",0,0,2149,0.300601482724857
"Cognitive.Test.Score","integer",0,0,70,0.00979157924185201
"Gender","factor",0,0,2,0.000279759406910057
"Ethnicity","factor",0,0,4,0.000559518813820115
"EducationLevel","factor",0,0,4,0.000559518813820115
"FamilyHistoryAlzheimers","factor",0,0,2,0.000279759406910057
"CardiovascularDisease","factor",0,0,2,0.000279759406910057
"Diabetes","factor",0,0,2,0.000279759406910057
"HeadInjury","factor",0,0,2,0.000279759406910057
"Hypertension","factor",0,0,2,0.000279759406910057
"MemoryComplaints","factor",0,0,2,0.000279759406910057
"BehavioralProblems","factor",0,0,2,0.000279759406910057
"Confusion","factor",0,0,2,0.000279759406910057
"Disorientation","factor",0,0,2,0.000279759406910057
"PersonalityChanges","factor",0,0,2,0.000279759406910057
"DifficultyCompletingTasks","factor",0,0,2,0.000279759406910057
"Forgetfulness","factor",0,0,2,0.000279759406910057
"Alzheimer.s.Diagnosis","factor",0,0,2,0.000279759406910057
"Physical.Activity.CAT","factor",0,0,3,0.000419639110365086
"Smoking.Status","factor",0,0,3,0.000419639110365086
"Alcohol.Consumption.CAT","factor",0,0,3,0.000419639110365086
"Cholesterol.Level","factor",0,0,2,0.000279759406910057
"Depression.Level","factor",0,0,3,0.000419639110365086
"Sleep.Quality.CAT","factor",0,0,3,0.000419639110365086
"Diet.Quality.CAT","factor",0,0,3,0.000419639110365086
"Air.Pollution.Exposure","factor",0,0,3,0.000419639110365086
"Employment.Status","factor",0,0,3,0.000419639110365086
"Marital.Status","factor",0,0,3,0.000419639110365086
"Genetic.Risk.Factor..APOE.ε4.allele.","factor",0,0,2,0.000279759406910057
"Social.Engagement.Level","factor",0,0,3,0.000419639110365086
"Income.Level","factor",0,0,3,0.000419639110365086
"Stress.Levels","factor",0,0,3,0.000419639110365086
"Urban.vs.Rural.Living","factor",0,0,2,0.000279759406910057
