PC,PEV,Cumulative
1,0.040179537986573574,0.040179537986573574
2,0.03671281952615471,0.07689235751272828
3,0.03522824349633552,0.1121206010090638
4,0.03481038625476481,0.1469309872638286
5,0.03429237596285675,0.18122336322668536
6,0.03413713865100806,0.21536050187769343
7,0.03379622154168539,0.24915672341937883
8,0.03355180684942044,0.2827085302687993
9,0.033112574187353395,0.3158211044561527
10,0.03289737426902758,0.34871847872518025
11,0.032467830692358576,0.38118630941753884
12,0.032276581512803514,0.41346289093034233
13,0.031458328236367565,0.4449212191667099
14,0.030999938410377192,0.4759211575770871
15,0.030861983540796684,0.5067831411178838
16,0.030603440157572694,0.5373865812754565
17,0.02999134267907702,0.5673779239545335
18,0.029959817337671932,0.5973377412922054
19,0.029878528105011404,0.6272162693972168
20,0.02915874674069666,0.6563750161379134
21,0.028956888901156976,0.6853319050390704
22,0.02885440483014068,0.7141863098692111
23,0.02847620600531686,0.7426625158745279
24,0.028274103731544327,0.7709366196060723
25,0.027586529114624746,0.7985231487206971
26,0.027083084780563448,0.8256062335012605
27,0.023529674299399343,0.8491359078006598
28,0.015516202810833934,0.8646521106114937
29,0.010989117993557692,0.8756412286050514
30,0.010707425148361524,0.886348653753413
31,0.010511977363719328,0.8968606311171323
32,0.010047979369076051,0.9069086104862084
33,0.009634454256456891,0.9165430647426653
34,0.007855695412177097,0.9243987601548425
35,0.007257239855100189,0.9316560000099426
36,0.006569346134432699,0.9382253461443754
37,0.006181560944348876,0.9444069070887242
38,0.005899325499633032,0.9503062325883572
39,0.005591096265796112,0.9558973288541533
40,0.005000057769616247,0.9608973866237696
41,0.004861345470982772,0.9657587320947524
42,0.0046612078786621505,0.9704199399734146
43,0.004407469045576275,0.9748274090189909
44,0.0041076329055523345,0.9789350419245433
45,0.004104322539032742,0.983039364463576
46,0.0039050581657278935,0.9869444226293039
47,0.0038365001002590143,0.990780922729563
48,0.0036776838037736034,0.9944586065333366
49,0.0029333228056227815,0.9973919293389594
50,0.0026080706610407977,1.0000000000000002
51,9.569363077826714e-18,1.0000000000000002
52,3.471302034510085e-18,1.0000000000000002
53,6.794922864086284e-19,1.0000000000000002
54,3.943601046989937e-19,1.0000000000000002
