feature,importance
FunctionalAssessment,0.09700659815196337
ADL,0.08161351240466506
Age,0.07849782867761608
MMSE,0.07695846859763672
MemoryComplaints,0.0761063946207162
BehavioralProblems,0.053361608314926624
BMI,0.03155999261039155
CholesterolHDL,0.030139887571658138
CholesterolTotal,0.02961061889578368
Diet.Quality.NUM,0.029339459475590465
Physical.Activity.NUM,0.02889377016747662
CholesterolLDL,0.028788777193966154
CholesterolTriglycerides,0.02869302607848589
Alcohol.Consumption.NUM,0.02814241588062974
Sleep.Quality.NUM,0.028011955705695205
SystolicBP,0.02549717922341487
Cognitive.Test.Score,0.025362498125127843
DiastolicBP,0.02487561533766686
Genetic.Risk.Factor..APOE.ε4.allele.,0.022795163906524387
EducationLevel,0.009834474200212153
Income.Level,0.007749787630863717
Social.Engagement.Level,0.007614669931461744
Depression.Level,0.007595111875680644
Alcohol.Consumption.CAT,0.007571074575688571
Diet.Quality.CAT,0.007506509377356756
Sleep.Quality.CAT,0.0073768891515091075
Air.Pollution.Exposure,0.007327411333597059
Stress.Levels,0.007266701341190069
Physical.Activity.CAT,0.007184032087520583
Smoking.Status,0.007114208970546662
FamilyHistoryAlzheimers,0.005891273160284452
Gender,0.004389527969191081
Cholesterol.Level,0.004197848744495161
Marital.Status_Single,0.0040508951735876075
Employment.Status_Unemployed,0.003977518519451556
Hypertension,0.0039755556801514495
Diabetes,0.003959179628314627
Marital.Status_Widowed,0.003950496291728544
Employment.Status_Employed,0.003938279512483676
Urban.vs.Rural.Living_Urban,0.00392493196560796
Forgetfulness,0.003922227389749007
Urban.vs.Rural.Living_Rural,0.0039013211358927616
Employment.Status_Retired,0.0038481630184614922
Marital.Status_Married,0.0037855375048526235
Ethnicity_Caucasian,0.0037572891405031035
CardiovascularDisease,0.003581152107912256
Disorientation,0.003528755921338802
Ethnicity_African American,0.003478300801934356
DifficultyCompletingTasks,0.003477859153588797
Confusion,0.003457871721933886
PersonalityChanges,0.0034361454659509014
Ethnicity_Asian,0.002918772814573715
HeadInjury,0.0027273182343210767
Ethnicity_Other,0.002528137528128408
